topology,run,seed,hidden_layer_sizes,num_hidden_layers,num_hidden_neurons,activation,optimizer,learning_rate,batch_size,epochs,val_accuracy,accuracy,precision_macro,recall_macro,f1_macro,test_error
topo_3_wide_relu_sgd,5,4405,"(24,)",1,24,relu,sgd,0.03,16,220,0.9722222222222222,0.9444444444444444,0.9484126984126985,0.9484126984126985,0.9484126984126985,0.05555555555555558
topo_3_wide_relu_sgd,6,4406,"(24,)",1,24,relu,sgd,0.03,16,220,1.0,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.02777777777777779
topo_3_wide_relu_sgd,7,4407,"(24,)",1,24,relu,sgd,0.03,16,220,0.9722222222222222,0.9444444444444444,0.9505494505494506,0.942857142857143,0.9453132832080201,0.05555555555555558
topo_3_wide_relu_sgd,8,4408,"(24,)",1,24,relu,sgd,0.03,16,220,0.9722222222222222,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.02777777777777779
topo_3_wide_relu_sgd,9,4409,"(24,)",1,24,relu,sgd,0.03,16,220,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.02777777777777779
topo_3_wide_relu_sgd,10,4410,"(24,)",1,24,relu,sgd,0.03,16,220,0.9722222222222222,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,0.02777777777777779
topo_4_two_layer_tanh,1,4501,"(24, 12)",2,36,tanh,adam,0.006,16,220,1.0,1.0,1.0,1.0,1.0,0.0
topo_4_two_layer_tanh,2,4502,"(24, 12)",2,36,tanh,adam,0.006,16,220,1.0,1.0,1.0,1.0,1.0,0.0
topo_4_two_layer_tanh,3,4503,"(24, 12)",2,36,tanh,adam,0.006,16,220,1.0,0.9444444444444444,0.942857142857143,0.942857142857143,0.942857142857143,0.05555555555555558
topo_4_two_layer_tanh,4,4504,"(24, 12)",2,36,tanh,adam,0.006,16,220,1.0,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.02777777777777779
topo_4_two_layer_tanh,5,4505,"(24, 12)",2,36,tanh,adam,0.006,16,220,1.0,0.9444444444444444,0.9583333333333334,0.9388888888888888,0.9457411645054665,0.05555555555555558
topo_4_two_layer_tanh,6,4506,"(24, 12)",2,36,tanh,adam,0.006,16,220,1.0,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488,0.05555555555555558
topo_4_two_layer_tanh,7,4507,"(24, 12)",2,36,tanh,adam,0.006,16,220,1.0,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488,0.05555555555555558
topo_4_two_layer_tanh,8,4508,"(24, 12)",2,36,tanh,adam,0.006,16,220,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.02777777777777779
topo_4_two_layer_tanh,9,4509,"(24, 12)",2,36,tanh,adam,0.006,16,220,1.0,1.0,1.0,1.0,1.0,0.0
topo_4_two_layer_tanh,10,4510,"(24, 12)",2,36,tanh,adam,0.006,16,220,1.0,0.9166666666666666,0.9220779220779222,0.9285714285714285,0.9184859584859586,0.08333333333333337
topo_5_deep_relu,1,4601,"(32, 16, 8)",3,56,relu,adam,0.004,16,260,0.9722222222222222,0.9444444444444444,0.9583333333333334,0.9388888888888888,0.9457411645054665,0.05555555555555558
topo_5_deep_relu,2,4602,"(32, 16, 8)",3,56,relu,adam,0.004,16,260,1.0,0.9444444444444444,0.9583333333333334,0.9333333333333332,0.9407407407407407,0.05555555555555558
topo_5_deep_relu,3,4603,"(32, 16, 8)",3,56,relu,adam,0.004,16,260,1.0,0.9444444444444444,0.9583333333333334,0.9388888888888888,0.9457411645054665,0.05555555555555558
topo_5_deep_relu,4,4604,"(32, 16, 8)",3,56,relu,adam,0.004,16,260,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.02777777777777779
topo_5_deep_relu,5,4605,"(32, 16, 8)",3,56,relu,adam,0.004,16,260,0.9722222222222222,0.9444444444444444,0.9583333333333334,0.9388888888888888,0.9457411645054665,0.05555555555555558
topo_5_deep_relu,6,4606,"(32, 16, 8)",3,56,relu,adam,0.004,16,260,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.02777777777777779
topo_5_deep_relu,7,4607,"(32, 16, 8)",3,56,relu,adam,0.004,16,260,0.9444444444444444,0.9166666666666666,0.9220779220779222,0.9285714285714285,0.9184859584859586,0.08333333333333337
topo_5_deep_relu,8,4608,"(32, 16, 8)",3,56,relu,adam,0.004,16,260,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.02777777777777779
topo_5_deep_relu,9,4609,"(32, 16, 8)",3,56,relu,adam,0.004,16,260,0.9722222222222222,1.0,1.0,1.0,1.0,0.0
topo_5_deep_relu,10,4610,"(32, 16, 8)",3,56,relu,adam,0.004,16,260,1.0,1.0,1.0,1.0,1.0,0.0
